age,age_o,race,race_o,match
24,24,2,2,0
24,27,2,4,0
24,30,2,2,0
24,21,2,4,0
24,25,2,2,0
24,26,2,2,0
24,27,2,2,1
24,23,2,1,0
24,24,2,3,0
28,21,2,4,0
28,27,2,1,1
28,21,2,4,1
28,27,2,2,0
28,25,2,2,0
28,23,2,2,0
28,22,2,3,0
28,26,2,2,0
28,22,2,2,1
28,23,2,2,0
28,24,2,2,0
28,27,2,4,0
28,30,2,2,0
28,21,2,4,0
28,25,2,2,1
28,26,2,2,0
28,27,2,2,0
28,23,2,1,0
28,24,2,3,0
26,21,2,4,0
26,27,2,1,0
26,21,2,4,0
26,27,2,2,0
26,25,2,2,0
26,23,2,2,0
26,22,2,3,1
26,26,2,2,1
26,22,2,2,0
26,23,2,2,0
26,24,2,2,0
26,27,2,4,0
26,30,2,2,0
26,21,2,4,1
26,25,2,2,1
26,26,2,2,0
26,27,2,2,0
26,23,2,1,0
26,24,2,3,0
30,21,2,4,0
30,27,2,1,0
30,21,2,4,0
30,27,2,2,0
30,25,2,2,0
30,23,2,2,0
30,22,2,3,0
30,26,2,2,0
30,22,2,2,0
30,23,2,2,0
30,24,2,2,0
30,27,2,4,0
30,30,2,2,0
30,21,2,4,0
30,25,2,2,0
30,26,2,2,0
30,27,2,2,0
30,23,2,1,0
30,24,2,3,1
22,21,2,4,0
22,27,2,1,0
22,21,2,4,0
22,27,2,2,0
22,25,2,2,0
22,23,2,2,0
22,22,2,3,0
22,26,2,2,0
22,22,2,2,0
22,23,2,2,0
22,24,2,2,1
22,27,2,4,0
22,30,2,2,0
22,21,2,4,0
22,25,2,2,0
22,26,2,2,0
22,27,2,2,0
22,23,2,1,0
22,24,2,3,0
25,21,4,4,0
25,27,4,1,0
25,21,4,4,0
25,27,4,2,0
25,25,4,2,0
25,23,4,2,0
25,22,4,3,0
25,26,4,2,0
25,22,4,2,0
25,23,4,2,1
25,24,4,2,1
25,27,4,4,0
25,30,4,2,0
25,21,4,4,1
25,25,4,2,1
25,26,4,2,1
25,27,4,2,0
25,23,4,1,1
25,24,4,3,0
27,21,1,4,0
27,27,1,1,0
27,21,1,4,0
27,27,1,2,0
27,25,1,2,0
27,23,1,2,0
27,22,1,3,1
27,26,1,2,0
27,22,1,2,0
27,23,1,2,0
27,24,1,2,1
27,27,1,4,0
27,30,1,2,0
27,21,1,4,0
27,25,1,2,1
27,26,1,2,0
27,27,1,2,0
27,23,1,1,1
27,24,1,3,0
23,21,2,4,0
23,27,2,1,0
23,21,2,4,0
23,27,2,2,0
23,25,2,2,0
23,23,2,2,0
23,22,2,3,0
23,26,2,2,0
23,22,2,2,0
23,23,2,2,0
23,24,2,2,0
23,27,2,4,0
23,30,2,2,0
23,21,2,4,0
23,25,2,2,0
23,26,2,2,1
23,27,2,2,0
23,23,2,1,0
23,24,2,3,0
21,21,2,4,0
21,27,2,1,0
21,21,2,4,0
21,27,2,2,0
21,25,2,2,0
21,23,2,2,0
21,22,2,3,0
21,26,2,2,0
21,22,2,2,0
21,23,2,2,0
21,24,2,2,0
21,27,2,4,0
21,30,2,2,0
21,21,2,4,0
21,25,2,2,0
21,26,2,2,0
21,27,2,2,1
21,23,2,1,0
21,24,2,3,0
28,21,2,4,0
28,27,2,1,0
28,21,2,4,0
28,27,2,2,0
28,25,2,2,0
28,23,2,2,0
28,22,2,3,0
28,26,2,2,0
28,22,2,2,0
28,23,2,2,0
28,24,2,2,0
28,27,2,4,0
28,30,2,2,0
28,21,2,4,0
28,25,2,2,1
28,26,2,2,0
28,27,2,2,0
28,23,2,1,0
28,24,2,3,0
28,21,2,4,0
28,27,2,1,0
28,21,2,4,0
28,27,2,2,0
28,25,2,2,0
28,23,2,2,0
28,22,2,3,0
28,26,2,2,0
28,22,2,2,0
28,23,2,2,0
28,24,2,2,0
28,27,2,4,0
28,30,2,2,0
28,21,2,4,0
28,25,2,2,0
28,26,2,2,0
28,27,2,2,0
28,23,2,1,0
28,24,2,3,0
23,21,1,4,0
23,27,1,1,0
23,21,1,4,0
23,27,1,2,0
23,25,1,2,0
23,23,1,2,0
23,22,1,3,0
23,26,1,2,0
23,22,1,2,0
23,23,1,2,1
23,24,1,2,1
23,27,1,4,0
23,30,1,2,0
23,21,1,4,0
23,25,1,2,0
23,26,1,2,0
23,27,1,2,0
23,23,1,1,1
23,24,1,3,0
23,29,2,3,0
23,22,2,6,0
23,27,2,1,0
23,28,2,2,1
23,26,2,2,1
23,21,2,2,0
23,22,2,2,0
23,22,2,2,0
23,25,2,2,0
23,24,2,6,0
22,29,2,3,0
22,22,2,6,0
22,27,2,1,0
22,28,2,2,0
22,26,2,2,0
22,21,2,2,1
22,22,2,2,0
22,22,2,2,0
22,25,2,2,0
22,24,2,6,0
,29,,3,0
,22,,6,0
,27,,1,0
,28,,2,0
,26,,2,0
,21,,2,1
,22,,2,0
,22,,2,0
,25,,2,1
,24,,6,0
,29,,3,0
,22,,6,0
,27,,1,0
,28,,2,0
,26,,2,0
,21,,2,0
,22,,2,0
,22,,2,0
,25,,2,0
,24,,6,0
29,29,6,3,1
29,22,6,6,0
29,27,6,1,0
29,28,6,2,0
29,26,6,2,0
29,21,6,2,0
29,22,6,2,0
29,22,6,2,0
29,25,6,2,0
29,24,6,6,0
28,29,2,3,0
28,22,2,6,0
28,27,2,1,0
28,28,2,2,0
28,26,2,2,0
28,21,2,2,1
28,22,2,2,0
28,22,2,2,0
28,25,2,2,0
28,24,2,6,1
26,29,3,3,0
26,22,3,6,1
26,27,3,1,0
26,28,3,2,1
26,26,3,2,0
26,21,3,2,0
26,22,3,2,0
26,22,3,2,0
26,25,3,2,1
26,24,3,6,0
24,29,4,3,0
24,22,4,6,1
24,27,4,1,0
24,28,4,2,0
24,26,4,2,0
24,21,4,2,0
24,22,4,2,0
24,22,4,2,0
24,25,4,2,0
24,24,4,6,0
27,29,4,3,0
27,22,4,6,0
27,27,4,1,0
27,28,4,2,0
27,26,4,2,0
27,21,4,2,0
27,22,4,2,0
27,22,4,2,0
27,25,4,2,0
27,24,4,6,1
23,29,6,3,0
23,22,6,6,0
23,27,6,1,0
23,28,6,2,0
23,26,6,2,0
23,21,6,2,0
23,22,6,2,0
23,22,6,2,0
23,25,6,2,0
23,24,6,6,0
29,23,3,2,0
29,22,3,2,0
29,,3,,0
29,,3,,0
29,29,3,6,1
29,28,3,2,0
29,26,3,3,0
29,24,3,4,0
29,27,3,4,0
29,23,3,6,0
22,23,6,2,0
22,22,6,2,0
22,,6,,0
22,,6,,0
22,29,6,6,0
22,28,6,2,0
22,26,6,3,1
22,24,6,4,1
22,27,6,4,0
22,23,6,6,0
27,23,1,2,0
27,22,1,2,0
27,,1,,0
27,,1,,0
27,29,1,6,0
27,28,1,2,0
27,26,1,3,0
27,24,1,4,0
27,27,1,4,0
27,23,1,6,0
28,23,2,2,1
28,22,2,2,0
28,,2,,0
28,,2,,0
28,29,2,6,0
28,28,2,2,0
28,26,2,3,1
28,24,2,4,0
28,27,2,4,0
28,23,2,6,0
26,23,2,2,1
26,22,2,2,0
26,,2,,0
26,,2,,0
26,29,2,6,0
26,28,2,2,0
26,26,2,3,0
26,24,2,4,0
26,27,2,4,0
26,23,2,6,0
21,23,2,2,0
21,22,2,2,1
21,,2,,1
21,,2,,0
21,29,2,6,0
21,28,2,2,1
21,26,2,3,0
21,24,2,4,0
21,27,2,4,0
21,23,2,6,0
22,23,2,2,0
22,22,2,2,0
22,,2,,0
22,,2,,0
22,29,2,6,0
22,28,2,2,0
22,26,2,3,0
22,24,2,4,0
22,27,2,4,0
22,23,2,6,0
22,23,2,2,0
22,22,2,2,0
22,,2,,0
22,,2,,0
22,29,2,6,0
22,28,2,2,0
22,26,2,3,0
22,24,2,4,0
22,27,2,4,0
22,23,2,6,0
25,23,2,2,0
25,22,2,2,0
25,,2,,1
25,,2,,0
25,29,2,6,0
25,28,2,2,0
25,26,2,3,1
25,24,2,4,0
25,27,2,4,0
25,23,2,6,0
24,23,6,2,0
24,22,6,2,0
24,,6,,0
24,,6,,0
24,29,6,6,0
24,28,6,2,1
24,26,6,3,0
24,24,6,4,0
24,27,6,4,1
24,23,6,6,0
34,28,2,4,1
34,26,2,2,0
34,26,2,3,0
34,29,2,2,0
34,39,2,2,0
34,28,2,2,0
34,30,2,6,0
34,22,2,4,0
34,32,2,2,0
34,26,2,2,0
34,27,2,2,0
34,25,2,1,1
34,22,2,3,0
34,21,2,2,1
34,24,2,2,0
34,25,2,4,1
34,28,2,2,1
34,27,2,4,0
22,28,2,4,1
22,26,2,2,0
22,26,2,3,0
22,29,2,2,1
22,39,2,2,1
22,28,2,2,1
22,30,2,6,0
22,22,2,4,0
22,32,2,2,0
22,26,2,2,0
22,27,2,2,0
22,25,2,1,1
22,22,2,3,0
22,21,2,2,1
22,24,2,2,0
22,25,2,4,0
22,28,2,2,0
22,27,2,4,0
23,28,3,4,0
23,26,3,2,0
23,26,3,3,0
23,29,3,2,0
23,39,3,2,0
23,28,3,2,0
23,30,3,6,0
23,22,3,4,0
23,32,3,2,0
23,26,3,2,0
23,27,3,2,0
23,25,3,1,0
23,22,3,3,1
23,21,3,2,1
23,24,3,2,0
23,25,3,4,1
23,28,3,2,0
23,27,3,4,0
26,28,4,4,0
26,26,4,2,0
26,26,4,3,0
26,29,4,2,0
26,39,4,2,0
26,28,4,2,0
26,30,4,6,0
26,22,4,4,0
26,32,4,2,0
26,26,4,2,0
26,27,4,2,1
26,25,4,1,0
26,22,4,3,0
26,21,4,2,1
26,24,4,2,1
26,25,4,4,0
26,28,4,2,0
26,27,4,4,0
27,28,4,4,0
27,26,4,2,0
27,26,4,3,0
27,29,4,2,0
27,39,4,2,0
27,28,4,2,0
27,30,4,6,0
27,22,4,4,0
27,32,4,2,1
27,26,4,2,0
27,27,4,2,0
27,25,4,1,1
27,22,4,3,0
27,21,4,2,0
27,24,4,2,0
27,25,4,4,1
27,28,4,2,0
27,27,4,4,0
28,28,2,4,0
28,26,2,2,0
28,26,2,3,0
28,29,2,2,0
28,39,2,2,0
28,28,2,2,1
28,30,2,6,0
28,22,2,4,0
28,32,2,2,0
28,26,2,2,0
28,27,2,2,1
28,25,2,1,0
28,22,2,3,0
28,21,2,2,0
28,24,2,2,1
28,25,2,4,0
28,28,2,2,0
28,27,2,4,0
25,28,6,4,1
25,26,6,2,0
25,26,6,3,0
25,29,6,2,0
25,39,6,2,0
25,28,6,2,1
25,30,6,6,0
25,22,6,4,0
25,32,6,2,0
25,26,6,2,0
25,27,6,2,0
25,25,6,1,1
25,22,6,3,0
25,21,6,2,1
25,24,6,2,0
25,25,6,4,1
25,28,6,2,0
25,27,6,4,0
35,28,3,4,0
35,26,3,2,0
35,26,3,3,0
35,29,3,2,0
35,39,3,2,0
35,28,3,2,1
35,30,3,6,0
35,22,3,4,0
35,32,3,2,0
35,26,3,2,0
35,27,3,2,0
35,25,3,1,0
35,22,3,3,0
35,21,3,2,1
35,24,3,2,0
35,25,3,4,0
35,28,3,2,0
35,27,3,4,0
32,28,3,4,0
32,26,3,2,0
32,26,3,3,0
32,29,3,2,0
32,39,3,2,0
32,28,3,2,0
32,30,3,6,0
32,22,3,4,0
32,32,3,2,0
32,26,3,2,0
32,27,3,2,0
32,25,3,1,1
32,22,3,3,0
32,21,3,2,0
32,24,3,2,1
32,25,3,4,0
32,28,3,2,0
32,27,3,4,0
30,28,2,4,0
30,26,2,2,0
30,26,2,3,0
30,29,2,2,0
30,39,2,2,0
30,28,2,2,0
30,30,2,6,0
30,22,2,4,0
30,32,2,2,0
30,26,2,2,0
30,27,2,2,0
30,25,2,1,0
30,22,2,3,0
30,21,2,2,1
30,24,2,2,0
30,25,2,4,0
30,28,2,2,0
30,27,2,4,0
22,28,2,4,0
22,26,2,2,0
22,26,2,3,0
22,29,2,2,1
22,39,2,2,0
22,28,2,2,0
22,30,2,6,1
22,22,2,4,0
22,32,2,2,0
22,26,2,2,0
22,27,2,2,1
22,25,2,1,1
22,22,2,3,0
22,21,2,2,1
22,24,2,2,1
22,25,2,4,1
22,28,2,2,1
22,27,2,4,0
23,28,2,4,0
23,26,2,2,0
23,26,2,3,0
23,29,2,2,0
23,39,2,2,0
23,28,2,2,1
23,30,2,6,0
23,22,2,4,0
23,32,2,2,0
23,26,2,2,0
23,27,2,2,0
23,25,2,1,0
23,22,2,3,0
23,21,2,2,1
23,24,2,2,0
23,25,2,4,0
23,28,2,2,0
23,27,2,4,0
23,28,2,4,0
23,26,2,2,0
23,26,2,3,0
23,29,2,2,0
23,39,2,2,0
23,28,2,2,0
23,30,2,6,0
23,22,2,4,0
23,32,2,2,0
23,26,2,2,0
23,27,2,2,0
23,25,2,1,0
23,22,2,3,0
23,21,2,2,0
23,24,2,2,0
23,25,2,4,0
23,28,2,2,0
23,27,2,4,0
27,28,2,4,0
27,26,2,2,0
27,26,2,3,0
27,29,2,2,0
27,39,2,2,0
27,28,2,2,1
27,30,2,6,0
27,22,2,4,0
27,32,2,2,0
27,26,2,2,0
27,27,2,2,1
27,25,2,1,0
27,22,2,3,0
27,21,2,2,0
27,24,2,2,0
27,25,2,4,0
27,28,2,2,0
27,27,2,4,0
23,28,4,4,0
23,26,4,2,0
23,26,4,3,0
23,29,4,2,0
23,39,4,2,0
23,28,4,2,0
23,30,4,6,0
23,22,4,4,0
23,32,4,2,0
23,26,4,2,0
23,27,4,2,0
23,25,4,1,0
23,22,4,3,0
23,21,4,2,0
23,24,4,2,0
23,25,4,4,1
23,28,4,2,0
23,27,4,4,0
25,28,6,4,0
25,26,6,2,0
25,26,6,3,0
25,29,6,2,1
25,39,6,2,0
25,28,6,2,1
25,30,6,6,0
25,22,6,4,0
25,32,6,2,0
25,26,6,2,1
25,27,6,2,0
25,25,6,1,1
25,22,6,3,1
25,21,6,2,1
25,24,6,2,0
25,25,6,4,1
25,28,6,2,1
25,27,6,4,0
29,28,2,4,0
29,26,2,2,0
29,26,2,3,0
29,29,2,2,1
29,39,2,2,1
29,28,2,2,1
29,30,2,6,0
29,22,2,4,0
29,32,2,2,0
29,26,2,2,0
29,27,2,2,0
29,25,2,1,1
29,22,2,3,0
29,21,2,2,1
29,24,2,2,0
29,25,2,4,1
29,28,2,2,1
29,27,2,4,0
29,28,2,4,0
29,26,2,2,1
29,26,2,3,0
29,29,2,2,1
29,39,2,2,0
29,28,2,2,0
29,30,2,6,1
29,22,2,4,0
29,32,2,2,0
29,26,2,2,0
29,27,2,2,1
29,25,2,1,0
29,22,2,3,0
29,21,2,2,0
29,24,2,2,0
29,25,2,4,0
29,28,2,2,0
29,27,2,4,0
28,34,4,2,1
28,22,4,2,1
28,23,4,3,0
28,26,4,4,0
28,27,4,4,0
28,28,4,2,0
28,25,4,6,1
28,35,4,3,0
28,32,4,3,0
28,30,4,2,0
28,22,4,2,0
28,23,4,2,0
28,23,4,2,0
28,27,4,2,0
28,23,4,4,0
28,25,4,6,0
28,29,4,2,0
28,29,4,2,0
26,34,2,2,0
26,22,2,2,0
26,23,2,3,0
26,26,2,4,0
26,27,2,4,0
26,28,2,2,0
26,25,2,6,0
26,35,2,3,0
26,32,2,3,0
26,30,2,2,0
26,22,2,2,0
26,23,2,2,0
26,23,2,2,0
26,27,2,2,0
26,23,2,4,0
26,25,2,6,0
26,29,2,2,0
26,29,2,2,1
26,34,3,2,0
26,22,3,2,0
26,23,3,3,0
26,26,3,4,0
26,27,3,4,0
26,28,3,2,0
26,25,3,6,0
26,35,3,3,0
26,32,3,3,0
26,30,3,2,0
26,22,3,2,0
26,23,3,2,0
26,23,3,2,0
26,27,3,2,0
26,23,3,4,0
26,25,3,6,0
26,29,3,2,0
26,29,3,2,0
29,34,2,2,0
29,22,2,2,1
29,23,2,3,0
29,26,2,4,0
29,27,2,4,0
29,28,2,2,0
29,25,2,6,0
29,35,2,3,0
29,32,2,3,0
29,30,2,2,0
29,22,2,2,1
29,23,2,2,0
29,23,2,2,0
29,27,2,2,0
29,23,2,4,0
29,25,2,6,1
29,29,2,2,1
29,29,2,2,1
39,34,2,2,0
